,Component_1,Component_2,Component_3,Component_4
10.0,0.004795781,0.0025913662,0.0045639174,0.0
10.02,0.0014438801,0.0,0.00027401355,0.06935125
10.04,0.0033788097,0.0,0.00089314906,0.08440658
10.06,0.0037940436,0.0032961306,0.0019050516,0.06815557
10.08,0.0029824069,0.001852233,0.0021332824,0.047320865
10.1,0.0022473326,0.001371398,0.0026802206,0.03613072
10.12,0.0017266418,0.0013001281,0.0017550248,0.040763624
10.14,0.00075967854,0.00094847055,0.001255141,0.049817733
10.16,0.0004898379,0.000928571,0.00016856284,0.032153036
10.18,0.0016147663,0.0010709164,0.0,0.0039611645
10.2,0.0026219713,0.0018380333,0.0011896866,0.0
10.22,0.0038682804,0.0032179402,0.0045361933,0.020727215
10.24,0.0016147702,0.0017928064,0.0024575074,0.01667396
10.26,0.0013164293,0.00029315386,0.0025543896,0.0023080953
10.28,0.002206521,0.0023262023,0.0030455044,0.0
10.3,0.0023968532,0.0028276504,0.0024965387,0.00013773792
10.32,0.002835498,0.0032024467,0.0024538713,0.016069582
10.34,0.0035888606,0.0039001533,0.0032800753,0.051221088
10.36,0.0037085456,0.003879137,0.004742119,0.08743394
10.38,0.0027327023,0.003505692,0.004726403,0.10377793
10.4,0.0015822614,0.003708383,0.003804095,0.09566737
10.42,0.001555132,0.004599413,0.0038577486,0.06645445
10.44,0.0033503543,0.006343913,0.0064120255,0.025924169
10.46,0.0028833132,0.0071265,0.0059540407,0.0
10.48,0.0018366805,0.0066618,0.0069900695,0.0
10.5,0.0021682188,0.0071990658,0.010166355,0.0
10.52,0.002315256,0.007749643,0.012562557,0.0028006039
10.54,0.0019037393,0.008290007,0.013260669,0.009575823
10.56,0.0029139044,0.008906368,0.014627075,0.015511583
10.58,0.0049793287,0.008601298,0.018204033,0.018586505
10.6,0.0063793315,0.00722963,0.02106031,0.018594634
10.62,0.0066784048,0.0058778953,0.022191685,0.01680329
10.64,0.006538349,0.0059858444,0.023669805,0.014985649
10.66,0.0072974283,0.007164557,0.026681399,0.01476769
10.68,0.007039376,0.007701991,0.024945756,0.015653934
10.7,0.0055820076,0.0070723314,0.021949822,0.017550847
10.72,0.004961821,0.0059859823,0.021037012,0.019471688
10.74,0.0051054335,0.004141103,0.020978985,0.01498548
10.76,0.004460137,0.002761819,0.019461056,0.0017189385
10.78,0.0038670201,0.0035291791,0.017589,0.0
10.8,0.004073559,0.0045539886,0.01895389,0.0
10.82,0.0043845684,0.004229217,0.02080407,0.0
10.84,0.0042757327,0.0018827037,0.019830175,0.0
10.86,0.0037122325,0.00038337513,0.01883665,0.0053413236
10.88,0.00414326,0.00037120064,0.02140083,0.015314425
10.9,0.005158614,0.0008755923,0.020926075,0.037513237
10.92,0.0056371028,0.0017083797,0.018215891,0.06505687
10.94,0.0060734022,0.0030653947,0.017301613,0.087558694
