,Tryptophan,Tyrosine,Phenylalanine
240.0,0.0027542484,0.0,0.0024781816
241.0,0.0027914494,0.0,0.0027229786
242.0,0.0028486026,0.0,0.0029109686
243.0,0.0029029856,0.0,0.003066472
244.0,0.0029983053,0.0,0.0032692116
245.0,0.0030748157,0.0,0.0034058068
246.0,0.003181117,0.0,0.003569443
247.0,0.003300325,0.0,0.0037177696
248.0,0.0033978361,0.0,0.003832807
249.0,0.003552126,0.0,0.003999717
250.0,0.0036837095,0.0,0.0041252365
251.0,0.0039087497,0.0,0.0042914343
252.0,0.004192612,0.0,0.0044820346
253.0,0.0044867517,0.0,0.004606402
254.0,0.0048376424,0.0,0.004686623
255.0,0.005179452,0.0,0.004737043
256.0,0.0055100727,0.0,0.0047654076
257.0,0.005813101,0.0,0.0047431504
258.0,0.006101334,0.0,0.004666131
259.0,0.0063424474,0.0,0.0045441515
260.0,0.006540263,0.0,0.00439691
261.0,0.006758389,0.0,0.0041801576
262.0,0.0069419225,0.0,0.0039434116
263.0,0.0071602166,0.0,0.0037539268
264.0,0.0074415924,0.0,0.003490511
265.0,0.0077113174,0.0,0.003182587
266.0,0.00798773,0.0,0.0028424673
267.0,0.008213802,0.0,0.0025061376
268.0,0.008428798,0.0,0.0021602276
269.0,0.008598216,0.0,0.0017815685
270.0,0.008740002,0.0,0.0014673371
271.0,0.008834647,0.0,0.0012037023
272.0,0.008946795,0.0,0.0009632459
273.0,0.009035396,0.0,0.0007925005
274.0,0.009075232,0.0,0.00060772174
275.0,0.009091946,0.0,0.00050971453
276.0,0.009098262,0.0,0.00042750392
277.0,0.009047177,0.0,0.00040014062
278.0,0.008953827,0.0,0.0003583204
279.0,0.0088254865,0.0,0.0003162261
280.0,0.008647995,0.0,0.00029496898
281.0,0.008447823,0.0,0.00028617439
282.0,0.008248408,0.0,0.00023284684
283.0,0.00801562,0.0,0.00016911385
284.0,0.0077324314,0.0,0.00013764437
285.0,0.007438076,0.0,9.36423e-05
286.0,0.007076905,0.0,7.346129e-05
287.0,0.0067226477,0.0,5.0015755e-05
288.0,0.006295835,0.0,4.5046054e-05
289.0,0.005788696,0.0,3.8638893e-05
290.0,0.0052462346,0.0,3.0347544e-05
291.0,0.0047101714,0.0,3.0596144e-05
292.0,0.004168625,0.0,3.2068263e-05
293.0,0.0035872702,0.0,2.6171301e-05
294.0,0.0030464232,0.0,2.5251626e-05
295.0,0.002579383,0.0,2.0874897e-05
296.0,0.002114161,0.0,1.886978e-05
297.0,0.0017184009,0.0,1.5455631e-05
298.0,0.0013867749,0.0,1.3132532e-05
299.0,0.0011432981,0.0,1.0986097e-05
300.0,0.0009261662,0.0,9.795203e-06
