,Tryptophan,Tyrosine,Phenylalanine
250.0,0.0005239373,0.0009994878,0.0011651505
251.0,0.0004987524,0.0008993631,0.0013374139
252.0,0.0005718912,0.0009697318,0.0013931516
253.0,0.00052031025,0.00095847296,0.0008751304
254.0,0.0004867418,0.0009961302,0.0012496054
255.0,0.0005646708,0.0009856098,0.0018312923
256.0,0.00057831896,0.0010186816,0.0018874044
257.0,0.0005762136,0.0009563368,0.0026328
258.0,0.00054515566,0.0010874235,0.00293086
259.0,0.0005289647,0.0010441347,0.0036067679
260.0,0.00048621604,0.0010249713,0.0054921117
261.0,0.0005278131,0.0009774421,0.006850333
262.0,0.00047567944,0.000732854,0.02372504
263.0,0.00031066834,0.00032660604,0.03800109
264.0,0.00022094716,2.9434972e-05,0.056623515
265.0,0.0,0.0,0.09093852
266.0,0.0,0.0,0.11699511
267.0,0.0,0.0,0.15766145
268.0,0.0,0.0,0.20548986
269.0,0.0,0.0,0.25756222
270.0,0.0,0.0,0.30833322
271.0,0.0,0.0,0.3694032
272.0,0.0,0.0,0.4327294
273.0,0.0,0.0,0.49297595
274.0,0.0,0.0,0.55827683
275.0,0.0,0.0,0.61840343
276.0,0.0,0.0,0.6816311
277.0,0.0,0.0,0.73369706
278.0,0.0,0.0,0.7865714
279.0,0.0,0.0,0.828543
280.0,0.0,0.0,0.88026947
281.0,0.0,0.0,0.9183519
282.0,0.0,0.0037148246,0.9468001
283.0,0.0,0.025207546,0.97340196
284.0,0.0,0.05949323,0.9865051
285.0,0.0,0.10363307,0.99236834
286.0,0.0,0.15948595,0.9962382
287.0,0.0,0.21501836,1.0
288.0,0.0,0.27969882,0.9903683
289.0,0.0,0.34046796,0.9799916
290.0,0.0,0.39859086,0.96421844
291.0,0.0,0.4493146,0.94416374
292.0,0.0,0.5158013,0.9236748
293.0,0.0,0.5630513,0.8978282
294.0,0.0,0.60975605,0.8719028
295.0,0.0,0.6598308,0.8316471
296.0,0.0,0.697901,0.797149
297.0,0.0,0.74788576,0.7629005
298.0,0.0,0.77409375,0.7251326
299.0,0.0,0.80181503,0.68920016
300.0,0.0,0.8172428,0.65999603
301.0,0.0,0.83865416,0.62563103
302.0,0.0,0.8648423,0.59131086
303.0,0.0,0.9082759,0.55108446
304.0,0.0,0.9333061,0.51713413
305.0,0.0,0.9612339,0.48089
306.0,0.0,0.97237116,0.44897994
307.0,0.0,0.98863834,0.41669554
308.0,0.0,1.0,0.3845542
309.0,0.0,0.99805576,0.34991252
310.0,0.0,0.9926605,0.32846716
311.0,0.0,0.9846579,0.30606323
312.0,0.0,0.96959776,0.28663048
313.0,0.0,0.95397294,0.26822782
314.0,0.0,0.93718964,0.25147185
315.0,0.0016283809,0.90928227,0.23306882
316.0,0.0101139825,0.8924419,0.22127579
317.0,0.02861055,0.8691297,0.20653883
318.0,0.05337681,0.834657,0.19382331
319.0,0.082858235,0.8014413,0.18081495
320.0,0.1151661,0.7690409,0.16775562
321.0,0.1531798,0.72923857,0.15552539
322.0,0.18637507,0.70059574,0.14376067
323.0,0.22106175,0.6662913,0.13304919
324.0,0.2520111,0.641118,0.12465938
325.0,0.28888345,0.6066221,0.1159988
326.0,0.32368588,0.5799314,0.1080477
327.0,0.3608993,0.550206,0.09927245
328.0,0.3950168,0.52216625,0.092654884
329.0,0.4317963,0.4949279,0.085398525
330.0,0.4705024,0.4669835,0.07866667
331.0,0.5064134,0.4407387,0.071937405
332.0,0.5409982,0.41575885,0.066909716
333.0,0.56793785,0.39836526,0.06287312
334.0,0.6044764,0.37226447,0.056761548
335.0,0.6392417,0.34862646,0.051435743
336.0,0.67085975,0.3272795,0.047311194
337.0,0.7008375,0.30779234,0.043485124
338.0,0.725478,0.2919624,0.039755605
339.0,0.7501432,0.27616376,0.036362313
340.0,0.7777235,0.25941515,0.032830175
341.0,0.80250704,0.2429413,0.0298763
342.0,0.8241586,0.22855566,0.02764963
343.0,0.8495065,0.21249567,0.025581364
344.0,0.87058055,0.2001752,0.022290584
345.0,0.88702035,0.18860725,0.020308146
346.0,0.9054388,0.17528398,0.01781278
347.0,0.91993266,0.16516009,0.016184347
348.0,0.93286437,0.15561172,0.013971523
349.0,0.9457057,0.14620814,0.012135459
350.0,0.95645475,0.13666165,0.011078062
351.0,0.96483326,0.12744282,0.009048046
352.0,0.9751898,0.11897169,0.007939754
353.0,0.98238933,0.11231537,0.006207856
354.0,0.9901821,0.104715884,0.0048588365
355.0,0.9937939,0.09808722,0.004492422
356.0,0.99617165,0.093634315,0.0033507058
357.0,0.99807894,0.08723622,0.003097107
358.0,0.99944705,0.080594316,0.0019798556
359.0,1.0,0.07632296,0.0013040699
360.0,0.99716014,0.07121823,0.00059525383
361.0,0.9883616,0.06578626,0.00016011934
362.0,0.98488146,0.061076533,1.4197865e-05
363.0,0.9721026,0.058711633,7.174858e-05
364.0,0.9625521,0.05335563,0.0
365.0,0.94984615,0.05140817,0.0
366.0,0.93811494,0.0474463,0.0
367.0,0.9241497,0.043823745,0.0
368.0,0.9116692,0.040763646,0.0
369.0,0.9001102,0.03981945,0.0
370.0,0.88367534,0.037353963,0.0
371.0,0.86719817,0.03438377,0.0
372.0,0.85298973,0.031243082,0.0
373.0,0.837629,0.029555758,0.0
374.0,0.8190059,0.027530706,0.0
375.0,0.80108666,0.026663076,0.0
376.0,0.7857501,0.02496169,0.0
377.0,0.7651427,0.023705408,0.0
378.0,0.74752754,0.022062428,0.0
379.0,0.7278473,0.021555524,0.0
380.0,0.7117643,0.020157788,0.0
381.0,0.6925542,0.018346313,0.0
382.0,0.67137855,0.017815288,0.0
383.0,0.6524617,0.017175546,0.0
384.0,0.6317201,0.016366,0.0
385.0,0.61280423,0.016224002,0.0
386.0,0.5946851,0.015099601,0.0
387.0,0.5773206,0.01419142,0.0
388.0,0.56098944,0.013794586,0.0
389.0,0.54676205,0.0137730595,0.0
390.0,0.53068286,0.013224582,0.0
391.0,0.51566964,0.013098572,0.0
392.0,0.50138974,0.01252599,0.0
393.0,0.48793352,0.012034461,0.0
394.0,0.47157216,0.011924759,0.0
395.0,0.45728886,0.012005308,0.0
396.0,0.4420618,0.012147115,0.0
397.0,0.42706046,0.011156832,0.0
398.0,0.4129347,0.01104367,0.0
399.0,0.39801085,0.010894006,0.0
400.0,0.3829418,0.011004333,0.00012337782
401.0,0.37467724,0.010767325,0.00012714475
402.0,0.36012712,0.010632285,0.00015620349
403.0,0.34759545,0.010036061,0.00020271633
404.0,0.3341633,0.010188168,0.00038321153
405.0,0.32121977,0.010065029,0.000839042
406.0,0.308097,0.0097705005,0.0010813415
407.0,0.29673406,0.009485362,0.0009169074
408.0,0.28595257,0.009677477,0.00086907356
409.0,0.27558976,0.009206521,0.0012541458
410.0,0.26528358,0.00928835,0.0012679036
411.0,0.25588074,0.0089004,0.0010895848
412.0,0.24433674,0.008672607,0.0012712484
413.0,0.23508397,0.008851261,0.00149468
414.0,0.22637105,0.008617752,0.0015029303
415.0,0.21707061,0.008421018,0.0015707202
416.0,0.20654935,0.008154807,0.0018183679
417.0,0.19924517,0.008213997,0.0020332898
418.0,0.19247183,0.008243087,0.0017968839
419.0,0.18592197,0.008101824,0.00186165
420.0,0.17951262,0.008079632,0.001955088
421.0,0.17153561,0.007888303,0.0020768333
422.0,0.16364878,0.0077104387,0.002289064
423.0,0.15603358,0.007786184,0.002092121
424.0,0.14924812,0.0075436397,0.0023183553
425.0,0.14339556,0.0072155776,0.0024113667
426.0,0.13712984,0.007133901,0.0023660804
427.0,0.13128321,0.0071185715,0.0025646097
428.0,0.12611748,0.0068030995,0.002516509
429.0,0.12153356,0.0068800817,0.002570774
430.0,0.11633753,0.006829165,0.0028061667
431.0,0.11118497,0.0065473416,0.0025769568
432.0,0.10705314,0.006478713,0.0025688931
433.0,0.10177643,0.006076192,0.0027366383
434.0,0.09695081,0.0060968176,0.0025541538
435.0,0.093390055,0.005725238,0.0025836132
436.0,0.08979825,0.0058319564,0.0026988839
437.0,0.08576316,0.0056840377,0.0027555218
438.0,0.08292811,0.0057305438,0.0027987296
439.0,0.08004982,0.0056597674,0.0027608166
440.0,0.07684409,0.0054259226,0.0028014402
441.0,0.07285673,0.005455677,0.0028971848
442.0,0.070464544,0.005305255,0.0029609979
443.0,0.06772241,0.005167402,0.0030297607
444.0,0.06475731,0.00515185,0.0029601853
445.0,0.06132416,0.0048329136,0.0029225696
446.0,0.058598325,0.0048015607,0.0029480404
447.0,0.056020238,0.0048294594,0.0031761203
448.0,0.054138683,0.0047465465,0.0028681273
449.0,0.0507185,0.0045529185,0.0032110398
450.0,0.04913598,0.0043663355,0.0031248608
