,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
270.0,0.034238074,0.012950853,0.008147811,0.008862028,0.015693415,0.006778104
272.0,0.012600188,0.019733675,0.005817402,0.0026508856,0.016376644,0.008410607
274.0,0.022037571,0.023553975,0.008773406,0.01647554,0.028068516,0.00736055
276.0,0.040177055,0.019931043,0.00692098,0.0155611895,0.01779401,0.011373627
278.0,0.022409968,0.01481704,0.013972845,0.0125289885,0.02519774,0.006661128
280.0,0.017309228,0.023494475,0.008423982,0.0061193197,0.0037771834,0.007122225
282.0,0.010439946,0.024638226,0.008995302,0.02186459,0.0188387,0.004630608
284.0,0.042311758,0.028529692,0.007413345,0.0035034977,0.013602431,0.026145173
286.0,0.037857585,0.03172941,0.0053539895,0.020561332,0.014749339,0.010895113
288.0,0.022704836,0.03184849,0.0027538515,0.006275001,0.008940272,0.028458137
290.0,0.00906671,0.018326176,0.008825537,0.020118417,0.034486335,0.026198972
292.0,0.03099849,0.0187991,0.006468192,0.013105546,0.02596744,0.006307914
294.0,0.03999558,0.007839096,0.005012442,0.016348721,0.03290495,0.012103276
296.0,0.027635967,0.009969625,0.0057085278,0.00646436,0.0048884,0.6174678
298.0,0.021844031,0.033210706,0.0052548917,0.010466419,0.033570223,0.025939813
300.0,0.050021116,0.025103636,0.010695383,0.005804218,0.027514698,0.02199103
302.0,0.021139998,0.027613603,0.0025488555,0.0146280695,0.027290966,0.339889
304.0,0.05461448,0.037774682,0.011635548,0.011944048,0.032009404,0.014460967
306.0,0.03974598,0.026021084,0.010716711,0.012749967,0.012277594,0.24347228
308.0,0.051768668,0.00729681,0.010846537,0.020785214,0.004475457,0.17325392
310.0,0.057447433,0.029607117,0.010360636,0.024729738,0.038524013,0.014664692
312.0,0.029686896,0.032204602,0.012629908,0.027544755,0.025721325,0.1213914
314.0,0.06352248,0.018071165,0.013101219,0.028283231,0.05537696,0.07910764
316.0,0.21973951,0.0073402966,0.009916478,0.02342286,0.033549182,0.2838141
318.0,0.19258004,0.020765958,0.014325831,0.028221441,0.053529747,0.106621735
320.0,0.16263966,0.015829002,0.016733177,0.032811116,0.066743,0.033971846
322.0,0.28075388,0.008483384,0.013600402,0.029415924,0.059605904,0.068904705
324.0,0.2232814,0.01425728,0.016206443,0.03387152,0.068779714,0.060072638
326.0,0.37133196,0.014968342,0.012690595,0.029263169,0.062610604,0.057072226
328.0,0.26299006,0.02742385,0.018386677,0.03581593,0.07301325,0.06110791
330.0,0.18558608,0.022619478,0.021947047,0.041030087,0.07938977,0.072190605
332.0,0.37531975,0.016398989,0.016968558,0.03357771,0.07099574,0.056687236
334.0,0.32495752,0.004793461,0.019224407,0.037302323,0.08181598,0.04008164
336.0,0.5360574,0.010975457,0.013432626,0.028764794,0.07069699,0.029555276
338.0,0.42513072,0.012917881,0.01904961,0.034369543,0.07863281,0.036941074
340.0,0.3578994,0.008673313,0.02108491,0.038637005,0.08802255,0.026372924
342.0,0.5789591,0.0063368166,0.014743917,0.028863667,0.07459494,0.017040137
344.0,0.46843907,0.0056233564,0.020472739,0.034356095,0.082009576,0.02371152
346.0,0.6172509,0.0062550935,0.01683256,0.027795617,0.07172495,0.020847378
348.0,0.5610061,0.008704413,0.018292557,0.030590102,0.07558056,0.022813488
350.0,0.44468006,0.010748736,0.021288356,0.036686223,0.08382304,0.028491154
352.0,0.5969902,0.01956335,0.016997172,0.02912393,0.07284072,0.022209667
354.0,0.55034095,0.0059529324,0.020981267,0.031558614,0.07471509,0.025959374
356.0,0.66000754,0.010394448,0.018604223,0.026809337,0.067091964,0.022685692
358.0,0.58212334,0.010469936,0.020927442,0.029574532,0.07114615,0.025833175
360.0,0.5216935,0.014113383,0.024522582,0.031706,0.07488391,0.028212128
362.0,0.65020317,0.0076704808,0.020000797,0.025388733,0.06364812,0.023138365
364.0,0.58045197,0.02054362,0.024197975,0.02795076,0.06799916,0.02720559
366.0,0.6486027,0.022473633,0.02314306,0.024482567,0.06031463,0.025519721
368.0,0.638474,0.012251632,0.024728432,0.02479942,0.06123912,0.026250368
370.0,0.583732,0.0063359174,0.025831748,0.025692862,0.06299544,0.02843824
372.0,0.64972854,0.028671205,0.024591485,0.022531286,0.056848787,0.024922295
374.0,0.63485634,0.050395455,0.026983444,0.022629926,0.05766125,0.026970182
376.0,0.7052248,0.02604376,0.025707565,0.01958559,0.05240967,0.022647452
378.0,0.66594595,0.044261053,0.027584502,0.02077728,0.054146558,0.025139224
380.0,0.67317796,0.024423739,0.026413439,0.01889528,0.049875524,0.025131943
382.0,0.71570015,0.067242146,0.027095333,0.018215876,0.044876747,0.025036344
384.0,0.71760726,0.034059368,0.029015621,0.016815474,0.045952138,0.024299733
386.0,0.7737429,0.07794368,0.026608692,0.014618383,0.04098357,0.023556959
388.0,0.772094,0.07159687,0.028131898,0.016524244,0.038666923,0.023034023
390.0,0.7738185,0.045500915,0.027982555,0.017082678,0.039141707,0.025601493
392.0,0.825694,0.099142395,0.028534327,0.011162925,0.033984188,0.023079036
394.0,0.8283558,0.06955307,0.030262861,0.01532552,0.043521263,0.022342695
396.0,0.8595601,0.17348354,0.028614918,0.012034179,0.031658385,0.021639407
398.0,0.8764637,0.12027711,0.029938413,0.012301599,0.036792558,0.020857813
400.0,0.90781176,0.05444649,0.028188568,0.008926178,0.030298742,0.022120008
402.0,0.89708817,0.23006651,0.027998371,0.012957565,0.035030086,0.02094954
404.0,0.91452706,0.18877906,0.029317908,0.012669558,0.03580075,0.023926433
406.0,0.92552465,0.3178079,0.028176405,0.0087276185,0.026156846,0.021160027
408.0,0.94009864,0.27541953,0.029268797,0.0076809027,0.032281224,0.020278733
410.0,0.9629079,0.21549432,0.030583195,0.008460744,0.032222487,0.020810086
412.0,0.9463384,0.35795742,0.03195283,0.009047444,0.032263346,0.020490346
414.0,0.95768064,0.33470404,0.032016844,0.01364759,0.027863689,0.023099596
416.0,0.957906,0.43159312,0.032087512,0.01066017,0.029709723,0.021949075
418.0,0.98735577,0.3983018,0.03107412,0.006709378,0.021621976,0.020267561
420.0,0.9909723,0.3642821,0.03221091,0.013727128,0.031728916,0.022740416
422.0,0.9819308,0.4730411,0.032725263,0.0091214245,0.029730344,0.022442615
424.0,1.0,0.47784808,0.03231615,0.012867375,0.021515973,0.018958949
426.0,0.9821046,0.5637839,0.033290673,0.012372785,0.025431067,0.02197652
428.0,0.9947019,0.549552,0.035250887,0.009900869,0.022199105,0.020693943
430.0,0.99974,0.55827534,0.035031393,0.013422025,0.025528446,0.018110411
432.0,0.9845383,0.63244945,0.035153877,0.011183235,0.020523228,0.021464242
434.0,0.97962934,0.6379409,0.036040407,0.014242178,0.025821378,0.01925404
436.0,0.9607677,0.7094528,0.037188593,0.014153043,0.025860475,0.020965155
438.0,0.9575868,0.7088259,0.0359944,0.013563423,0.028005145,0.02156326
440.0,0.95500064,0.71331185,0.035616186,0.0109930495,0.027868517,0.020025248
442.0,0.9285927,0.7942601,0.037596703,0.013945715,0.021604959,0.018791718
444.0,0.9128983,0.79959387,0.037327398,0.014948722,0.03105871,0.019141171
446.0,0.87526363,0.87161225,0.03852243,0.01775925,0.032447338,0.022582987
448.0,0.87632,0.8625012,0.03606466,0.015298786,0.025976034,0.02018594
450.0,0.86029315,0.8606377,0.037665915,0.016668307,0.030908182,0.019343069
452.0,0.82874024,0.9211137,0.03825699,0.016337186,0.033330113,0.017669471
454.0,0.82290184,0.9089126,0.037925154,0.015296141,0.024108723,0.018472623
456.0,0.7872039,0.9644409,0.037720602,0.018203938,0.024731454,0.020062413
458.0,0.7728843,0.9523796,0.03838339,0.01745146,0.029596815,0.01828093
460.0,0.76427937,0.9309119,0.03800754,0.016186418,0.028921727,0.01711241
462.0,0.7273819,0.97304285,0.03896912,0.019429997,0.029597307,0.019939834
464.0,0.7212421,0.95266366,0.040281557,0.016411645,0.030246584,0.016095486
466.0,0.67872816,1.0,0.03560069,0.01903478,0.026569307,0.01663174
468.0,0.6614992,0.9777024,0.036602914,0.018163504,0.029938092,0.016127251
470.0,0.6468074,0.9577207,0.035471465,0.01778372,0.026016057,0.0178248
472.0,0.61315596,0.9785728,0.037880052,0.018212318,0.03087819,0.017977025
