,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
Sample_1,6.0911846,5.5110455,17.296118,4.4955726,7.8005905,13.09387
Sample_2,10.16219,7.4657383,24.7571,7.0681653,11.540351,20.90251
Sample_3,3.8722694,9.185408,20.676851,4.4209642,10.825663,17.036295
Sample_4,9.549766,8.749871,24.376123,8.6461525,13.003185,21.652824
Sample_5,7.8416038,6.7047033,24.07999,6.242474,11.365984,20.377539
Sample_6,7.482297,6.3776665,23.38412,6.2679467,10.82012,18.596813
Sample_7,8.244189,6.4100413,23.728085,5.927269,10.541174,18.746672
Sample_8,9.810892,8.252861,25.52139,7.3869114,11.9236965,20.973629
Sample_9,12.643433,7.763994,29.681076,9.25496,13.818998,26.066805
Sample_10,11.734905,7.341862,26.246414,7.8516536,11.91325,21.932579
Sample_11,5.933047,5.6950045,20.792175,5.126739,9.477479,15.785901
Sample_12,19.483458,11.133811,37.641884,13.232101,17.164104,36.431053
Sample_13,9.095051,8.516695,23.474775,6.8546586,11.348338,20.375147
Sample_14,16.011053,8.325053,32.153187,9.996059,14.894763,29.826065
Sample_15,7.7874856,7.349976,22.161808,6.009201,10.116764,17.353243
Sample_16,10.46413,7.6713753,20.821342,6.494539,8.956627,16.524544
Sample_17,11.011142,8.018169,20.42334,6.9266415,9.402225,17.02368
Sample_18,7.121425,9.504925,16.850449,5.1580195,8.064729,13.268184
Sample_19,9.227015,6.0137286,18.831331,5.5432677,8.534754,15.410758
Sample_20,13.9486065,8.096187,28.608555,9.638894,13.083435,24.987064
Sample_21,17.199432,8.164748,33.73402,10.036483,14.259322,29.754452
Sample_22,2.7578006,6.46412,21.423298,4.4430633,10.621201,16.640022
Sample_23,64.33878,12.271999,87.69289,39.846214,36.200035,89.65564
Sample_24,8.555681,7.068769,22.23939,6.207591,10.436894,18.194496
Sample_25,12.451971,7.887727,27.30364,8.690025,12.849971,23.071615
Sample_26,4.081761,7.6716576,16.048758,4.0685306,7.626605,11.503448
Sample_27,9.489965,8.111645,24.989412,8.207905,12.419126,21.372105
Sample_28,8.9248,6.1729245,20.445963,5.7217793,9.281978,16.67947
Sample_29,9.257343,5.9851074,23.885866,6.12578,10.592578,19.35019
Sample_30,6.5994434,5.407279,22.670837,5.2186894,10.250241,17.291328
Sample_31,9.181948,6.710673,18.061691,5.260757,8.171505,15.186919
Sample_32,61.900284,4.7971234,89.744125,4.2587805,11.055214,102.46657
Sample_33,15.16982,8.306924,31.116716,9.558828,14.122431,28.97652
Sample_34,8.79969,6.5938306,21.102083,5.844441,9.539423,16.500648
Sample_35,8.080032,6.030434,19.222193,4.879119,8.468065,15.163738
Sample_36,3.0190175,8.712166,19.930471,3.9197023,10.112705,14.924067
Sample_37,7.1447563,6.88892,17.28973,5.0347066,7.6872067,12.95267
Sample_38,8.036374,5.244758,21.559786,5.0411625,9.522107,17.080683
Sample_39,19.713848,8.129894,36.9196,15.183186,18.824774,35.836395
