,Fluorophore_Component_1,Fluorophore_Component_2,Fluorophore_Component_3
300.0,0.354559,0.19275232,0.01716248
302.52525252525254,0.20464815,0.2638246,0.01833591
305.050505050505,0.34907848,0.2923599,0.0014630163
307.57575757575756,0.34930354,0.3029418,0.013697922
310.1010101010101,0.3774524,0.31388694,0.0104637295
312.62626262626264,0.43885282,0.30363405,0.01604421
315.1515151515151,0.5374605,0.28443855,0.018690327
317.67676767676767,0.5484966,0.3442949,0.0030629262
320.2020202020202,0.6056057,0.3049223,0.019333227
322.72727272727275,0.69706076,0.2481461,0.022534437
325.25252525252523,0.7678557,0.24173243,0.009663868
327.77777777777777,0.84079456,0.22184186,0.02290618
330.3030303030303,0.87984115,0.13607663,0.023515526
332.8282828282828,0.922345,0.22244222,0.011275561
335.35353535353534,0.9604832,0.18975012,0.045047775
337.8787878787879,0.9798966,0.20247258,0.045746062
340.4040404040404,1.0,0.18846375,0.07253091
342.92929292929296,0.97332966,0.23614196,0.09113307
345.45454545454544,0.94791543,0.23460181,0.10597972
347.979797979798,0.9170998,0.2356773,0.12483769
350.5050505050505,0.8564546,0.2952662,0.12664416
353.030303030303,0.7946816,0.35302728,0.13284966
355.55555555555554,0.72504437,0.37603903,0.16753565
358.0808080808081,0.65440613,0.40984336,0.1753688
360.6060606060606,0.5744302,0.47712436,0.17354141
363.1313131313131,0.49793702,0.54950404,0.17598198
365.65656565656565,0.42288113,0.6275226,0.18663391
368.1818181818182,0.35896888,0.65713006,0.21742816
370.70707070707067,0.29401916,0.7176362,0.21422319
373.2323232323232,0.24043636,0.78490806,0.2060964
375.75757575757575,0.192079,0.84880066,0.214716
378.2828282828283,0.15389647,0.9038144,0.28673473
380.80808080808083,0.12211852,0.9188922,0.22964083
383.3333333333333,0.09280628,0.95727825,0.23413527
385.85858585858585,0.07005225,0.98848176,0.2353092
388.3838383838384,0.05651613,1.0,0.25851655
390.9090909090909,0.046293855,0.9923568,0.26962858
393.4343434343434,0.03021796,0.98957443,0.25875086
395.95959595959596,0.038161788,0.96831304,0.275659
398.4848484848485,0.034936488,0.9462241,0.29377055
401.01010101010104,0.022032337,0.88847506,0.40783128
403.5353535353535,0.014462744,0.8688008,0.34795094
406.06060606060606,0.0130489655,0.81256634,0.38849
408.58585858585855,0.03569445,0.75138444,0.4295038
411.1111111111111,0.019721137,0.6737951,0.52725947
413.6363636363636,0.015593626,0.63921475,0.49060494
416.16161616161617,0.028758697,0.5732607,0.5338312
418.6868686868687,0.018839782,0.5162988,0.5863504
421.2121212121212,0.042480018,0.42614684,0.70731634
423.73737373737373,0.030532395,0.39616284,0.6874875
426.26262626262627,0.010091661,0.352436,0.72865367
428.78787878787875,0.02685164,0.2968259,0.7772455
431.3131313131313,0.008364331,0.2539616,0.83437335
433.83838383838383,0.023435926,0.21676216,0.85702693
436.3636363636364,0.0085080145,0.18672065,0.8883329
438.8888888888889,0.014977107,0.15175197,0.9204177
441.4141414141414,0.009102335,0.1255195,0.9527157
443.93939393939394,0.011363347,0.09639992,1.0
446.4646464646464,0.018536367,0.08885699,0.9647115
448.98989898989896,0.022779953,0.07229378,0.97112125
451.5151515151515,0.022812244,0.052248355,0.9962857
454.04040404040404,0.009119909,0.05748981,0.9843437
456.5656565656566,0.02697146,0.047067214,0.9326504
459.0909090909091,0.025408274,0.04460262,0.9141358
461.6161616161616,0.014677348,0.02628315,0.8980795
464.1414141414141,0.006852441,0.029150676,0.851662
466.66666666666663,0.013338445,0.03255388,0.81314665
469.19191919191917,0.013851657,0.01937165,0.7783578
471.7171717171717,0.015601104,0.021683587,0.73727745
474.24242424242425,0.025888192,0.011269431,0.68262756
476.7676767676768,0.032183,0.037553,0.6239645
479.2929292929293,0.02178638,0.042037666,0.5745306
481.8181818181818,0.024081392,0.0119938385,0.5369545
484.3434343434343,0.03091215,0.02216448,0.48314127
486.86868686868684,0.040651172,0.029570384,0.43126848
489.3939393939394,0.042089734,0.04661209,0.38093582
491.9191919191919,0.037859324,0.02567911,0.34618926
494.44444444444446,0.04070905,0.016155839,0.30600417
496.969696969697,0.058453843,0.005744237,0.27163675
499.4949494949495,0.0490061,0.010849963,0.23458683
502.020202020202,0.060546175,0.026505789,0.19612378
504.5454545454545,0.024091795,0.023182934,0.16983487
507.07070707070704,0.071740136,0.026115049,0.13721383
509.5959595959596,0.040943295,0.0060174987,0.12589104
512.1212121212121,0.08706375,0.01950412,0.09304121
514.6464646464647,0.037745636,0.016201166,0.082633674
517.1717171717171,0.090909064,0.027407981,0.0574412
519.6969696969697,0.04979522,0.023306856,0.04752176
522.2222222222222,0.08752135,0.040841233,0.04009143
524.7474747474747,0.061662894,0.03127498,0.03177771
527.2727272727273,0.095806874,0.038377266,0.014075145
529.7979797979798,0.0646697,0.016517257,0.024954041
532.3232323232323,0.11061428,0.009745296,0.024792174
534.8484848484849,0.06724754,0.008989929,0.03646729
537.3737373737374,0.10953113,0.01236884,0.0145895425
539.8989898989898,0.077137366,0.02238192,0.026085155
542.4242424242424,0.1008545,0.01772211,0.023507042
544.9494949494949,0.076271445,0.022769092,0.030034883
547.4747474747475,0.08529811,0.014672145,0.03359843
550.0,0.04192449,0.036144435,0.028081449
