,Fluorophore_Component_1,Fluorophore_Component_2,Fluorophore_Component_3
250.0,0.058043115,0.0022925793,0.0051094904
252.54237288135593,0.071741395,0.0017217494,0.0019716814
255.08474576271186,0.086292066,0.0009807708,0.00608064
257.6271186440678,0.09922682,0.0014900094,0.0023784868
260.1694915254237,0.1108606,0.0022605546,0.0008985959
262.7118644067797,0.12060955,0.0034288492,0.003199648
265.2542372881356,0.13187493,0.0042149024,0.0047131693
267.79661016949154,0.13291958,0.005926536,0.0018751398
270.33898305084745,0.13404639,0.007960604,0.001069439
272.8813559322034,0.13212474,0.010163853,0.0040566297
275.4237288135593,0.12767562,0.013145352,0.0037850102
277.96610169491527,0.12111459,0.01666287,0.0018238334
280.50847457627117,0.10513719,0.01981111,0.005755169
283.0508474576271,0.09643347,0.024250349,0.006648274
285.59322033898303,0.08398343,0.028334912,0.0069251126
288.135593220339,0.07353139,0.032493047,0.006917955
290.6779661016949,0.05608439,0.036923233,0.010323495
293.22033898305085,0.050338197,0.041898254,0.013491356
295.76271186440675,0.04276409,0.045471665,0.018951109
298.3050847457627,0.037962597,0.04879006,0.025717355
300.8474576271186,0.019663265,0.05194529,0.032136403
303.3898305084746,0.01592604,0.054209948,0.040160555
305.93220338983053,0.02471677,0.056443132,0.049101602
308.47457627118644,0.029518742,0.058586806,0.05833068
311.01694915254234,0.013739431,0.05829467,0.06791543
313.5593220338983,0.028143309,0.05811951,0.08138379
316.10169491525426,0.023335747,0.056582276,0.0943744
318.64406779661016,0.021483036,0.054623708,0.108740605
321.1864406779661,0.016751986,0.049074177,0.1239786
323.728813559322,0.024601804,0.047054004,0.1408185
326.271186440678,0.021275155,0.043754514,0.1560955
328.8135593220339,0.019479569,0.040634014,0.17257524
331.35593220338984,0.021340651,0.032074463,0.19108494
333.89830508474574,0.023725022,0.030724227,0.20684583
336.4406779661017,0.022880847,0.02706911,0.22136834
338.9830508474576,0.027017007,0.017355787,0.23953521
341.52542372881356,0.02424679,0.019548656,0.2476325
344.06779661016947,0.022761662,0.0157963,0.2575772
346.6101694915254,0.020192629,0.0135295745,0.26761764
349.1525423728814,0.022702908,0.0058472403,0.2718756
351.6949152542373,0.016240854,0.009266879,0.2712456
354.2372881355932,0.013766942,0.007359107,0.2725358
356.77966101694915,0.012993763,0.0031802629,0.26206023
359.3220338983051,0.008006109,0.00651901,0.25904274
361.864406779661,0.0062098624,0.0051854514,0.25273767
364.4067796610169,0.0036634954,0.00432429,0.23010063
366.9491525423729,0.004703496,0.005218297,0.22887157
369.49152542372883,0.0028968789,0.00482582,0.21697345
372.03389830508473,0.0039607584,0.0044072885,0.18795191
374.5762711864407,0.0029649762,0.0058820653,0.185502
377.1186440677966,0.0015299416,0.005541429,0.16901305
379.66101694915255,0.0016539211,0.0053277146,0.15872093
382.20338983050846,0.0010811061,0.006268831,0.12378622
384.74576271186436,0.002458159,0.005990506,0.12250502
387.2881355932203,0.0018976646,0.0056820745,0.11286267
389.8305084745763,0.0018865215,0.006714271,0.08145973
392.37288135593224,0.00096511573,0.005609572,0.085280456
394.91525423728814,0.0011896866,0.0067542726,0.059940737
397.45762711864404,0.0027136654,0.004753165,0.06652907
400.0,0.002787106,0.004678273,0.05556325
