,Fluorophore_Component_1,Fluorophore_Component_2,Fluorophore_Component_3
250.0,0.40676013,0.0,0.02552585
252.54237288135593,0.50131595,0.005795884,0.020235265
255.08474576271186,0.6016858,0.015438765,0.0143470485
257.6271186440678,0.70341295,0.024765171,0.010676093
260.1694915254237,0.79721314,0.038425382,0.0064184694
262.7118644067797,0.88051796,0.05462936,0.0044219196
265.2542372881356,0.970499,0.081759274,0.00096248643
267.79661016949154,0.9882707,0.104166076,0.0029222148
270.33898305084745,1.0,0.1398061,0.000744792
272.8813559322034,0.9768718,0.18302386,0.002231999
275.4237288135593,0.94287795,0.23152208,0.004963943
277.96610169491527,0.89376456,0.28747466,0.0073609967
280.50847457627117,0.7562089,0.34042054,0.015230883
283.0508474576271,0.6874011,0.415258,0.018998694
285.59322033898303,0.593803,0.4787031,0.029289529
288.135593220339,0.51737165,0.5438266,0.041323412
290.6779661016949,0.38675672,0.6129552,0.056029502
293.22033898305085,0.34609503,0.6986877,0.06898141
295.76271186440675,0.29099685,0.7582454,0.09168258
298.3050847457627,0.2546615,0.8166461,0.11743109
300.8474576271186,0.1289155,0.861405,0.13996458
303.3898305084746,0.102408536,0.90129966,0.17139055
305.93220338983053,0.16077082,0.95111334,0.21013281
308.47457627118644,0.19058958,1.0,0.24753343
311.01694915254234,0.08736697,0.98090124,0.2804698
313.5593220338983,0.18225843,0.99169207,0.34002116
316.10169491525426,0.14785792,0.95897925,0.38873023
318.64406779661016,0.13566819,0.91996455,0.44324684
321.1864406779661,0.10503663,0.81187916,0.49830288
323.728813559322,0.15733005,0.77975523,0.5680038
326.271186440678,0.13460475,0.71675926,0.62278855
328.8135593220339,0.12337454,0.65909654,0.68183976
331.35593220338984,0.1363224,0.5112803,0.74022233
333.89830508474574,0.15408391,0.4871821,0.8027734
336.4406779661017,0.1494399,0.4252539,0.8501566
338.9830508474576,0.17834903,0.26396477,0.90775454
341.52542372881356,0.16114548,0.29495028,0.94241846
344.06779661016947,0.15006651,0.23720247,0.96661437
346.6101694915254,0.13741343,0.19613458,1.0
349.1525423728814,0.15049358,0.078853786,0.9984303
351.6949152542373,0.10685609,0.13066758,0.9958244
354.2372881355932,0.091294415,0.10160506,0.99371886
356.77966101694915,0.084237285,0.03963052,0.9462123
359.3220338983051,0.053049963,0.082643695,0.9385307
361.864406779661,0.038704906,0.065935425,0.91024154
364.4067796610169,0.029417176,0.042911317,0.8311357
366.9491525423729,0.006621236,0.07720118,0.81676227
369.49152542372883,0.0,0.06897375,0.7751408
372.03389830508473,0.0,0.06724336,0.6722064
374.5762711864407,0.0,0.0856096,0.6663171
377.1186440677966,0.0,0.07813706,0.60957706
379.66101694915255,0.0,0.07237603,0.5732663
382.20338983050846,0.0,0.088841625,0.450736
384.74576271186436,0.0,0.088318445,0.4443
387.2881355932203,0.0,0.08040806,0.41117877
389.8305084745763,0.0,0.1001099,0.29858786
392.37288135593224,0.0,0.08074282,0.31217226
394.91525423728814,0.0,0.099200174,0.22141524
397.45762711864404,0.0,0.0759045,0.24200477
400.0,0.0,0.0710598,0.2038956
